lang,count
ja,30228
en,25171
id,24416
fr,23910
zh,1038
zh-hant,592
zh-hk,376
tr,341
de,267
nl,184
tok,165
ko,133
zh-hans,123
zh-tw,120
ru,112
es,103
it,86
fa,71
arz,62
uk,47
eu,42
zh-cn,41
mul,39
sv,37
ca,35
pl,35
th,33
cs,31
ar,30
sl,29
la,28
az,25
my,25
eo,24
pt,22
zh-sg,20
fi,18
el,16
hu,15
vi,14
he,14
nan,11
en-gb,11
nb,10
ka,10
ms,9
ro,9
yue,8
mr,8
en-us,8
en-ca,7
wuu,6
gl,6
hi,6
lt,5
ast,5
jv,5
sh,5
hr,4
mk,4
or,4
hak,4
nan-latn-tailo,4
nan-latn-pehoeji,4
oc,3
ta,3
br,3
ga,3
hy,3
sk,3
bcl,3
tt,3
co,2
da,2
min,2
be-tarask,2
lv,2
ml,2
si,2
sq,2
sr,2
tl,2
uz,2
war,2
lzh,2
pt-br,2
nds,1
ty,1
ba,1
ban,1
bg,1
mt,1
pnb,1
sco,1
ks,1
be,1
cv,1
te,1
cy,1
is,1
ky,1
lfn,1
mn,1
kn,1
bar,1
ne,1
de-ch,1
ha,1
pap,1
yo,1
ff,1
bo,1
et,1
awa,1
gu,1
sa,1
